,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
49,46.2,80.4,34.2,47.8,1.21,2.84,2.79,1.58,1.63,1.22,2.12,0.9,1.26,2.16,46,1.0,55.0,108,60,62,2,2,38.0,38,3420,418,622.0,1356.0,Leicester City,28,26.5,52.0,2021-2022
50,82.7,146.2,63.5,88.7,1.87,4.34,4.16,2.29,2.47,2.18,3.85,1.67,2.33,4.0,71,1.0,50.0,165,87,94,7,8,38.0,38,3420,418,885.0,2243.0,Liverpool,27,27.7,62.7,2021-2022
51,81.4,146.9,65.5,88.7,1.66,4.18,4.0,2.34,2.53,2.14,3.87,1.72,2.33,4.06,63,1.0,42.0,159,89,96,7,9,38.0,38,3420,418,1145.0,2421.0,Manchester City,26,27.0,67.9,2021-2022
52,51.9,94.3,42.5,55.8,1.21,2.68,2.61,1.39,1.47,1.36,2.48,1.12,1.47,2.59,46,2.0,77.0,102,53,56,3,5,38.0,38,3420,418,784.0,1568.0,Manchester Utd,29,27.2,52.7,2021-2022
53,35.9,61.7,25.8,38.1,0.61,1.68,1.61,1.0,1.08,0.94,1.62,0.68,1.0,1.68,23,2.0,81.0,64,38,41,3,3,38.0,38,3420,418,544.0,923.0,Newcastle Utd,29,27.5,40.4,2021-2022
54,30.0,54.3,24.3,32.3,0.42,0.97,0.89,0.47,0.55,0.79,1.43,0.64,0.85,1.49,16,1.0,57.0,37,18,21,3,3,38.0,38,3420,418,566.0,1031.0,Norwich City,28,26.2,42.9,2021-2022
55,41.6,74.1,32.5,44.8,0.68,1.76,1.66,0.97,1.08,1.1,1.95,0.85,1.18,2.03,26,2.0,65.0,67,37,41,4,4,38.0,38,3420,418,728.0,1326.0,Southampton,25,25.7,47.7,2021-2022
56,57.3,104.4,47.0,61.2,1.32,2.97,2.84,1.53,1.66,1.51,2.75,1.24,1.61,2.85,50,1.0,69.0,113,58,63,5,5,38.0,38,3420,418,791.0,1459.0,Tottenham,25,26.5,51.8,2021-2022
57,38.4,70.9,32.5,40.0,0.68,1.55,1.53,0.84,0.87,1.01,1.87,0.86,1.05,1.91,26,3.0,63.0,59,32,33,1,2,38.0,38,3420,418,557.0,1070.0,Watford,30,28.4,40.7,2021-2022
58,46.8,84.2,37.4,51.4,1.21,2.74,2.63,1.42,1.53,1.23,2.22,0.99,1.35,2.34,46,3.0,52.0,104,54,58,4,6,38.0,38,3420,418,646.0,1449.0,West Ham,25,28.2,47.9,2021-2022
