,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
434,Middlesbrough,,,,,,,,,0.82,31,2.08,79,2.03,1.21,46,1.26,48,,4.0,43.0,2,3,38.0,38,3420,418,,,29,26.4,,2002-2003
435,Newcastle Utd,,,,,,,,,1.11,42,2.76,105,2.68,1.58,60,1.66,63,,2.0,40.0,3,4,38.0,38,3420,420,,,26,24.8,,2002-2003
436,Southampton,,,,,,,,,0.63,24,1.74,66,1.58,0.95,36,1.11,42,,3.0,33.0,6,6,38.0,38,3420,417,,,26,27.2,,2002-2003
437,Sunderland,,,,,,,,,0.42,16,0.97,37,0.95,0.53,20,0.55,21,,0.0,47.0,1,3,38.0,38,3420,413,,,34,26.0,,2002-2003
438,Tottenham,,,,,,,,,0.92,35,2.24,85,2.16,1.24,47,1.32,50,,4.0,50.0,3,3,38.0,38,3420,414,,,25,28.1,,2002-2003
439,West Brom,,,,,,,,,0.29,11,1.05,40,1.03,0.74,28,0.76,29,,4.0,45.0,1,1,38.0,38,3420,418,,,23,27.2,,2002-2003
440,West Ham,,,,,,,,,0.76,29,1.84,70,1.74,0.97,37,1.08,41,,4.0,49.0,4,5,38.0,38,3420,422,,,24,27.3,,2002-2003
441,Arsenal,,,,,,,,,1.42,54,3.5,133,3.34,1.92,73,2.08,79,,6.0,77.0,6,7,38.0,38,3420,431,,,25,27.3,,2001-2002
442,Aston Villa,,,,,,,,,1.0,38,2.16,82,2.11,1.11,42,1.16,44,,2.0,41.0,2,2,38.0,38,3420,410,,,23,27.2,,2001-2002
443,Blackburn,,,,,,,,,1.03,39,2.45,93,2.42,1.39,53,1.42,54,,4.0,57.0,1,1,38.0,38,3420,416,,,27,27.2,,2001-2002
444,Bolton,,,,,,,,,0.66,25,1.76,67,1.76,1.11,42,1.11,42,,6.0,57.0,0,1,38.0,38,3420,407,,,30,28.5,,2001-2002
445,Charlton Ath,,,,,,,,,0.66,25,1.61,61,1.61,0.95,36,0.95,36,,3.0,63.0,0,1,38.0,38,3420,418,,,25,26.6,,2001-2002
446,Chelsea,,,,,,,,,1.13,43,2.84,108,2.76,1.63,62,1.71,65,,2.0,63.0,3,3,38.0,38,3420,411,,,25,26.8,,2001-2002
447,Derby County,,,,,,,,,0.61,23,1.47,56,1.42,0.82,31,0.87,33,,2.0,71.0,2,5,38.0,38,3420,409,,,34,25.8,,2001-2002
448,Everton,,,,,,,,,0.82,31,1.97,75,1.89,1.08,41,1.16,44,,4.0,58.0,3,3,38.0,38,3420,401,,,28,28.0,,2001-2002
449,Fulham,,,,,,,,,0.74,28,1.66,63,1.63,0.89,34,0.92,35,,1.0,53.0,1,3,38.0,38,3420,415,,,24,27.7,,2001-2002
450,Ipswich Town,,,,,,,,,0.84,32,1.92,73,1.89,1.05,40,1.08,41,,1.0,42.0,1,3,38.0,38,3420,410,,,26,27.2,,2001-2002
451,Leeds United,,,,,,,,,1.21,46,2.63,100,2.61,1.39,53,1.42,54,,5.0,70.0,1,2,38.0,38,3420,433,,,21,26.0,,2001-2002
452,Leicester City,,,,,,,,,0.55,21,1.32,50,1.26,0.71,27,0.76,29,,3.0,74.0,2,4,38.0,38,3420,415,,,33,27.2,,2001-2002
453,Liverpool,,,,,,,,,1.34,51,3.0,114,2.97,1.63,62,1.66,63,,2.0,45.0,1,3,38.0,38,3420,418,,,27,25.5,,2001-2002
454,Manchester Utd,,,,,,,,,1.47,56,3.61,137,3.47,2.0,76,2.13,81,,1.0,53.0,5,5,38.0,38,3420,402,,,28,27.5,,2001-2002
455,Middlesbrough,,,,,,,,,0.55,21,1.42,54,1.37,0.82,31,0.87,33,,7.0,54.0,2,3,38.0,38,3420,409,,,35,28.2,,2001-2002
456,Newcastle Utd,,,,,,,,,1.39,53,3.29,125,3.16,1.76,67,1.89,72,,2.0,48.0,5,7,38.0,38,3420,390,,,24,25.9,,2001-2002
457,Southampton,,,,,,,,,0.79,30,1.89,72,1.79,1.0,38,1.11,42,,3.0,33.0,4,4,38.0,38,3420,390,,,30,27.5,,2001-2002
458,Sunderland,,,,,,,,,0.5,19,1.26,48,1.24,0.74,28,0.76,29,,1.0,66.0,1,3,38.0,38,3420,415,,,26,26.6,,2001-2002
459,Tottenham,,,,,,,,,0.87,33,2.13,81,2.05,1.18,45,1.26,48,,4.0,59.0,3,3,38.0,38,3420,411,,,24,28.7,,2001-2002
460,West Ham,,,,,,,,,0.89,34,2.16,82,2.05,1.16,44,1.26,48,,3.0,67.0,4,5,38.0,38,3420,419,,,28,27.4,,2001-2002
461,Arsenal,,,,,,,,,1.37,52,3.0,114,2.97,1.61,61,1.63,62,,3.0,48.0,1,2,38.0,38,3420,418,,,26,28.3,,2000-2001
462,Aston Villa,,,,,,,,,0.92,35,2.13,81,2.11,1.18,45,1.21,46,,3.0,64.0,1,1,38.0,38,3420,419,,,23,28.1,,2000-2001
463,Bradford City,,,,,,,,,0.45,17,1.13,43,1.05,0.61,23,0.68,26,,1.0,58.0,3,5,38.0,38,3420,366,,,30,30.2,,2000-2001
464,Charlton Ath,,,,,,,,,0.87,33,2.11,80,2.03,1.16,44,1.24,47,,2.0,47.0,3,3,38.0,38,3420,418,,,27,26.8,,2000-2001
465,Chelsea,,,,,,,,,1.29,49,3.05,116,2.95,1.66,63,1.76,67,,2.0,75.0,4,4,38.0,38,3420,411,,,27,28.1,,2000-2001
466,Coventry City,,,,,,,,,0.58,22,1.45,55,1.37,0.79,30,0.87,33,,2.0,76.0,3,3,38.0,38,3420,418,,,28,25.7,,2000-2001
467,Derby County,,,,,,,,,0.63,24,1.58,60,1.53,0.89,34,0.95,36,,3.0,79.0,2,3,38.0,38,3420,415,,,32,25.3,,2000-2001
468,Everton,,,,,,,,,0.74,28,1.92,73,1.79,1.05,40,1.18,45,,4.0,78.0,5,7,38.0,38,3420,414,,,31,27.0,,2000-2001
469,Ipswich Town,,,,,,,,,1.03,39,2.5,95,2.42,1.39,53,1.47,56,,2.0,32.0,3,3,38.0,38,3420,438,,,23,26.3,,2000-2001
470,Leeds United,,,,,,,,,1.16,44,2.82,107,2.74,1.58,60,1.66,63,,3.0,72.0,3,4,38.0,38,3420,425,,,26,24.6,,2000-2001
471,Leicester City,,,,,,,,,0.82,31,1.84,70,1.76,0.95,36,1.03,39,,2.0,57.0,3,3,38.0,38,3420,425,,,29,27.4,,2000-2001
472,Liverpool,,,,,,,,,1.26,48,3.11,118,3.03,1.76,67,1.84,70,,4.0,53.0,3,4,38.0,38,3420,415,,,26,25.4,,2000-2001
473,Manchester City,,,,,,,,,0.74,28,1.74,66,1.68,0.95,36,1.0,38,,3.0,68.0,2,2,38.0,38,3420,434,,,30,26.1,,2000-2001
474,Manchester Utd,,,,,,,,,1.58,60,3.61,137,3.55,1.97,75,2.03,77,,3.0,44.0,2,3,38.0,38,3420,418,,,29,26.9,,2000-2001
475,Middlesbrough,,,,,,,,,0.66,25,1.79,68,1.71,1.05,40,1.13,43,,6.0,73.0,3,3,38.0,38,3420,438,,,28,29.3,,2000-2001
476,Newcastle Utd,,,,,,,,,0.71,27,1.82,69,1.68,0.97,37,1.11,42,,5.0,48.0,5,7,38.0,38,3420,424,,,29,26.0,,2000-2001
477,Southampton,,,,,,,,,0.74,28,1.79,68,1.79,1.05,40,1.05,40,,1.0,49.0,0,0,38.0,38,3420,433,,,24,27.1,,2000-2001
478,Sunderland,,,,,,,,,0.84,32,2.05,78,2.0,1.16,44,1.21,46,,5.0,78.0,2,4,38.0,38,3420,395,,,28,26.4,,2000-2001
479,Tottenham,,,,,,,,,0.82,31,2.03,77,1.95,1.13,43,1.21,46,,3.0,47.0,3,4,38.0,38,3420,418,,,29,26.3,,2000-2001
480,West Ham,,,,,,,,,0.79,30,1.97,75,1.87,1.08,41,1.18,45,,2.0,70.0,4,4,38.0,38,3420,409,,,34,27.7,,2000-2001
481,Arsenal,,,,,,,,,1.29,49,3.16,120,3.08,1.79,68,1.87,71,,5.0,61.0,3,5,38.0,38,3420,417,,,30,28.3,,1999-2000
482,Aston Villa,,,,,,,,,1.08,41,2.34,89,2.26,1.18,45,1.26,48,,1.0,58.0,3,5,38.0,38,3420,420,,,25,26.6,,1999-2000
483,Bradford City,,,,,,,,,0.55,21,1.53,58,1.39,0.84,32,0.97,37,,1.0,49.0,5,5,38.0,38,3420,418,,,25,29.8,,1999-2000
484,Chelsea,,,,,,,,,1.18,45,2.45,93,2.42,1.24,47,1.26,48,,4.0,54.0,1,1,38.0,38,3420,434,,,27,28.9,,1999-2000
485,Coventry City,,,,,,,,,0.84,32,2.05,78,1.92,1.08,41,1.21,46,,1.0,49.0,5,5,38.0,38,3420,412,,,30,27.1,,1999-2000
486,Derby County,,,,,,,,,0.74,28,1.84,70,1.79,1.05,40,1.11,42,,4.0,84.0,2,4,38.0,38,3420,418,,,31,26.2,,1999-2000
487,Everton,,,,,,,,,1.26,48,2.79,106,2.63,1.37,52,1.53,58,,5.0,50.0,6,7,38.0,38,3420,437,,,28,27.4,,1999-2000
488,Leeds United,,,,,,,,,0.95,36,2.45,93,2.34,1.39,53,1.5,57,,3.0,72.0,4,6,38.0,38,3420,417,,,20,24.1,,1999-2000
489,Leicester City,,,,,,,,,0.89,34,2.29,87,2.21,1.32,50,1.39,53,,3.0,39.0,3,3,38.0,38,3420,417,,,26,27.8,,1999-2000
490,Liverpool,,,,,,,,,0.79,30,2.11,80,2.03,1.24,47,1.32,50,,4.0,55.0,3,5,38.0,38,3420,418,,,23,24.3,,1999-2000
491,Manchester Utd,,,,,,,,,1.82,69,4.29,163,4.21,2.39,91,2.47,94,,4.0,38.0,3,5,38.0,38,3420,417,,,29,26.8,,1999-2000
492,Middlesbrough,,,,,,,,,0.68,26,1.84,70,1.68,1.0,38,1.16,44,,3.0,75.0,6,9,38.0,38,3420,418,,,28,28.5,,1999-2000
493,Newcastle Utd,,,,,,,,,1.13,43,2.71,103,2.55,1.42,54,1.58,60,,1.0,43.0,6,6,38.0,38,3420,418,,,32,26.8,,1999-2000
494,Sheffield Weds,,,,,,,,,0.63,24,1.53,58,1.45,0.82,31,0.89,34,,1.0,40.0,3,4,38.0,38,3420,399,,,25,28.4,,1999-2000
495,Southampton,,,,,,,,,0.84,32,1.95,74,1.92,1.08,41,1.11,42,,5.0,62.0,1,1,38.0,38,3420,402,,,29,27.4,,1999-2000
496,Sunderland,,,,,,,,,1.03,39,2.53,96,2.37,1.34,51,1.5,57,,3.0,66.0,6,8,38.0,38,3420,417,,,27,26.9,,1999-2000
497,Tottenham,,,,,,,,,1.05,40,2.5,95,2.47,1.42,54,1.45,55,,1.0,75.0,1,1,38.0,38,3420,418,,,28,26.7,,1999-2000
498,Watford,,,,,,,,,0.74,28,1.66,63,1.61,0.87,33,0.92,35,,2.0,60.0,2,2,38.0,38,3420,419,,,31,26.2,,1999-2000
499,West Ham,,,,,,,,,1.11,42,2.45,93,2.39,1.29,49,1.34,51,,6.0,61.0,2,2,38.0,38,3420,419,,,28,26.7,,1999-2000
500,Wimbledon,,,,,,,,,0.87,33,2.03,77,2.0,1.13,43,1.16,44,,4.0,43.0,1,1,38.0,38,3420,418,,,26,26.7,,1999-2000
501,Arsenal,,,,,,,,,1.11,42,2.63,100,2.58,1.47,56,1.53,58,,7.0,71.0,2,4,38.0,38,3420,418,,,26,28.3,,1998-1999
502,Aston Villa,,,,,,,,,0.84,32,2.16,82,2.11,1.26,48,1.32,50,,2.0,60.0,2,4,38.0,38,3420,436,,,24,25.9,,1998-1999
503,Blackburn,,,,,,,,,0.74,28,1.63,62,1.58,0.84,32,0.89,34,,6.0,77.0,2,4,38.0,38,3420,411,,,30,25.5,,1998-1999
504,Charlton Ath,,,,,,,,,0.63,24,1.66,63,1.55,0.92,35,1.03,39,,3.0,59.0,4,6,38.0,38,3420,418,,,27,27.5,,1998-1999
505,Chelsea,,,,,,,,,1.0,38,2.47,94,2.39,1.39,53,1.47,56,,4.0,88.0,3,4,38.0,38,3420,419,,,26,28.5,,1998-1999
506,Coventry City,,,,,,,,,0.68,26,1.71,65,1.66,0.97,37,1.03,39,,1.0,70.0,2,2,38.0,38,3420,416,,,28,27.1,,1998-1999
507,Derby County,,,,,,,,,0.68,26,1.74,66,1.63,0.95,36,1.05,40,,1.0,76.0,4,6,38.0,38,3420,417,,,30,26.1,,1998-1999
508,Everton,,,,,,,,,0.74,28,1.89,72,1.82,1.08,41,1.16,44,,5.0,90.0,3,6,38.0,38,3420,436,,,34,25.1,,1998-1999
509,Leeds United,,,,,,,,,1.0,38,2.61,99,2.55,1.55,59,1.61,61,,1.0,79.0,2,3,38.0,38,3420,424,,,24,24.8,,1998-1999
510,Leicester City,,,,,,,,,0.84,32,1.89,72,1.84,1.0,38,1.05,40,,1.0,51.0,2,3,38.0,38,3420,424,,,24,27.4,,1998-1999
511,Liverpool,,,,,,,,,1.13,43,2.92,111,2.74,1.61,61,1.79,68,,3.0,67.0,7,7,38.0,38,3420,412,,,25,25.7,,1998-1999
512,Manchester Utd,,,,,,,,,1.63,62,3.68,140,3.63,2.0,76,2.05,78,,3.0,58.0,2,4,38.0,38,3420,419,,,23,26.5,,1998-1999
513,Middlesbrough,,,,,,,,,0.79,30,2.03,77,2.0,1.21,46,1.24,47,,4.0,55.0,1,1,38.0,38,3420,417,,,29,28.4,,1998-1999
514,Newcastle Utd,,,,,,,,,0.68,26,1.92,73,1.76,1.08,41,1.24,47,,2.0,79.0,6,7,38.0,38,3420,399,,,34,25.6,,1998-1999
515,Nott'ham Forest,,,,,,,,,0.61,23,1.53,58,1.47,0.87,33,0.92,35,,6.0,85.0,2,2,38.0,38,3420,417,,,33,26.9,,1998-1999
516,Sheffield Weds,,,,,,,,,0.76,29,1.79,68,1.76,1.0,38,1.03,39,,4.0,47.0,1,2,38.0,38,3420,409,,,31,27.7,,1998-1999
517,Southampton,,,,,,,,,0.71,27,1.63,62,1.61,0.89,34,0.92,35,,2.0,75.0,1,1,38.0,38,3420,394,,,31,27.9,,1998-1999
518,Tottenham,,,,,,,,,0.87,33,2.13,81,2.08,1.21,46,1.26,48,,5.0,68.0,2,3,38.0,38,3420,424,,,29,26.6,,1998-1999
519,West Ham,,,,,,,,,0.84,32,2.11,80,2.08,1.24,47,1.26,48,,4.0,80.0,1,1,38.0,38,3420,417,,,29,26.3,,1998-1999
520,Wimbledon,,,,,,,,,0.87,33,1.92,73,1.89,1.03,39,1.05,40,,1.0,57.0,1,1,38.0,38,3420,418,,,23,26.9,,1998-1999
521,Arsenal,,,,,,,,,1.47,56,3.21,122,3.08,1.61,61,1.74,66,,4.0,72.0,5,6,38.0,38,3420,415,,,26,28.2,,1997-1998
522,Aston Villa,,,,,,,,,1.03,39,2.32,88,2.24,1.21,46,1.29,49,,2.0,45.0,3,4,38.0,38,3420,416,,,22,25.8,,1997-1998
523,Barnsley,,,,,,,,,0.47,18,1.45,55,1.37,0.89,34,0.97,37,,5.0,68.0,3,5,38.0,38,3420,387,,,26,26.2,,1997-1998
524,Blackburn,,,,,,,,,1.42,54,2.87,109,2.82,1.39,53,1.45,55,,4.0,58.0,2,2,38.0,38,3420,410,,,24,26.9,,1997-1998
525,Bolton,,,,,,,,,0.87,33,1.95,74,1.87,1.0,38,1.08,41,,5.0,68.0,3,3,38.0,38,3420,433,,,28,28.0,,1997-1998
526,Chelsea,,,,,,,,,1.74,66,3.5,133,3.34,1.61,61,1.76,67,,3.0,68.0,6,6,38.0,38,3420,416,,,28,27.9,,1997-1998
527,Coventry City,,,,,,,,,0.84,32,2.05,78,1.92,1.08,41,1.21,46,,5.0,70.0,5,7,38.0,38,3420,398,,,26,27.3,,1997-1998
528,Crystal Palace,,,,,,,,,0.71,27,1.63,62,1.61,0.89,34,0.92,35,,3.0,72.0,1,2,38.0,38,3420,389,,,36,25.6,,1997-1998
529,Derby County,,,,,,,,,0.95,36,2.32,88,2.18,1.24,47,1.37,52,,2.0,80.0,5,6,38.0,38,3420,416,,,28,25.5,,1997-1998
530,Everton,,,,,,,,,0.79,30,1.79,68,1.79,1.0,38,1.0,38,,5.0,77.0,0,0,38.0,38,3420,401,,,34,25.9,,1997-1998
531,Leeds United,,,,,,,,,1.13,43,2.5,95,2.47,1.34,51,1.37,52,,5.0,76.0,1,2,38.0,38,3420,418,,,22,25.7,,1997-1998
532,Leicester City,,,,,,,,,1.05,40,2.39,91,2.29,1.24,47,1.34,51,,2.0,43.0,4,4,38.0,38,3420,418,,,22,26.6,,1997-1998
533,Liverpool,,,,,,,,,1.5,57,3.29,125,3.18,1.68,64,1.79,68,,2.0,52.0,4,5,38.0,38,3420,416,,,24,25.4,,1997-1998
534,Manchester Utd,,,,,,,,,1.5,57,3.29,125,3.21,1.71,65,1.79,68,,1.0,61.0,3,6,38.0,38,3420,418,,,29,26.3,,1997-1998
535,Newcastle Utd,,,,,,,,,0.66,25,1.58,60,1.55,0.89,34,0.92,35,,3.0,61.0,1,2,38.0,38,3420,411,,,26,27.2,,1997-1998
536,Sheffield Weds,,,,,,,,,1.16,44,2.5,95,2.42,1.26,48,1.34,51,,4.0,68.0,3,3,38.0,38,3420,430,,,34,27.7,,1997-1998
537,Southampton,,,,,,,,,0.97,37,2.24,85,2.11,1.13,43,1.26,48,,4.0,58.0,5,5,38.0,38,3420,413,,,31,27.5,,1997-1998
538,Tottenham,,,,,,,,,1.03,39,2.18,83,2.18,1.16,44,1.16,44,,2.0,56.0,0,2,38.0,38,3420,415,,,28,27.3,,1997-1998
539,West Ham,,,,,,,,,1.11,42,2.5,95,2.47,1.37,52,1.39,53,,5.0,62.0,1,1,38.0,38,3420,413,,,29,25.3,,1997-1998
540,Wimbledon,,,,,,,,,0.76,29,1.61,61,1.58,0.82,31,0.84,32,,2.0,56.0,1,1,38.0,38,3420,429,,,27,26.5,,1997-1998
541,Arsenal,,,,,,,,,0.95,36,2.5,95,2.29,1.34,51,1.55,59,,4.0,74.0,8,8,38.0,38,3420,402,,,28,29.3,,1996-1997
542,Aston Villa,,,,,,,,,0.84,32,2.05,78,1.95,1.11,42,1.21,46,,0.0,51.0,4,5,38.0,38,3420,418,,,21,25.4,,1996-1997
543,Blackburn,,,,,,,,,0.95,36,2.05,78,2.0,1.05,40,1.11,42,,1.0,72.0,2,3,38.0,38,3420,422,,,25,27.0,,1996-1997
544,Chelsea,,,,,,,,,1.24,47,2.71,103,2.61,1.37,52,1.47,56,,1.0,81.0,4,5,38.0,38,3420,414,,,31,28.1,,1996-1997
545,Coventry City,,,,,,,,,0.76,29,1.71,65,1.63,0.87,33,0.95,36,,4.0,64.0,3,3,38.0,38,3420,411,,,25,28.0,,1996-1997
546,Derby County,,,,,,,,,0.89,34,2.0,76,1.92,1.03,39,1.11,42,,1.0,60.0,3,4,38.0,38,3420,414,,,26,26.1,,1996-1997
547,Everton,,,,,,,,,0.95,36,2.13,81,2.03,1.08,41,1.18,45,,2.0,56.0,4,6,38.0,38,3420,430,,,26,27.1,,1996-1997
548,Leeds United,,,,,,,,,0.58,22,1.29,49,1.29,0.71,27,0.71,27,,1.0,89.0,0,1,38.0,38,3420,403,,,30,26.9,,1996-1997
549,Leicester City,,,,,,,,,0.76,29,1.92,73,1.84,1.08,41,1.16,44,,1.0,68.0,3,6,38.0,38,3420,424,,,24,26.4,,1996-1997
550,Liverpool,,,,,,,,,1.26,48,2.79,106,2.74,1.47,56,1.53,58,,1.0,51.0,2,3,38.0,38,3420,412,,,23,26.2,,1996-1997
551,Manchester Utd,,,,,,,,,1.24,47,3.08,117,2.97,1.74,66,1.84,70,,1.0,71.0,4,6,38.0,38,3420,413,,,23,25.8,,1996-1997
552,Middlesbrough,,,,,,,,,0.76,29,2.08,79,1.95,1.18,45,1.32,50,,3.0,90.0,5,8,38.0,38,3420,403,,,30,26.2,,1996-1997
553,Newcastle Utd,,,,,,,,,1.26,48,3.16,120,3.03,1.76,67,1.89,72,,1.0,74.0,5,7,38.0,38,3420,400,,,20,27.3,,1996-1997
554,Nott'ham Forest,,,,,,,,,0.58,22,1.39,53,1.34,0.76,29,0.82,31,,1.0,67.0,2,3,38.0,38,3420,415,,,29,27.9,,1996-1997
555,Sheffield Weds,,,,,,,,,0.76,29,2.08,79,2.03,1.26,48,1.32,50,,2.0,52.0,2,4,38.0,38,3420,418,,,24,26.6,,1996-1997
556,Southampton,,,,,,,,,0.97,37,2.21,84,2.05,1.08,41,1.24,47,,6.0,79.0,6,7,38.0,38,3420,416,,,31,25.9,,1996-1997
557,Sunderland,,,,,,,,,0.58,22,1.42,54,1.32,0.74,28,0.84,32,,5.0,50.0,4,6,38.0,38,3420,369,,,25,28.4,,1996-1997
558,Tottenham,,,,,,,,,0.84,32,1.97,75,1.92,1.08,41,1.13,43,,1.0,70.0,2,3,38.0,38,3420,415,,,26,26.7,,1996-1997
559,West Ham,,,,,,,,,0.92,35,1.97,75,1.84,0.92,35,1.05,40,,2.0,70.0,5,6,38.0,38,3420,412,,,32,27.9,,1996-1997
560,Wimbledon,,,,,,,,,0.95,36,2.21,84,2.21,1.26,48,1.26,48,,1.0,51.0,0,1,38.0,38,3420,418,,,24,26.6,,1996-1997
561,Arsenal,,,,,,,,,0.92,35,2.21,84,2.13,1.21,46,1.29,49,,2.0,62.0,3,5,38.0,38,3420,418,,,25,28.8,,1995-1996
562,Aston Villa,,,,,,,,,0.97,37,2.26,86,2.21,1.24,47,1.29,49,,2.0,46.0,2,2,38.0,38,3420,415,,,24,25.3,,1995-1996
563,Blackburn,,,,,,,,,1.18,45,2.76,105,2.68,1.5,57,1.58,60,,4.0,66.0,3,3,38.0,38,3420,427,,,26,26.6,,1995-1996
564,Bolton,,,,,,,,,0.71,27,1.74,66,1.66,0.95,36,1.03,39,,3.0,64.0,3,3,38.0,38,3420,418,,,28,27.1,,1995-1996
565,Chelsea,,,,,,,,,0.89,34,2.08,79,2.0,1.11,42,1.18,45,,3.0,65.0,3,4,38.0,38,3420,434,,,25,27.5,,1995-1996
566,Coventry City,,,,,,,,,0.82,31,1.92,73,1.89,1.08,41,1.11,42,,3.0,62.0,1,2,38.0,38,3420,422,,,26,27.1,,1995-1996
567,Everton,,,,,,,,,1.18,45,2.84,108,2.74,1.55,59,1.66,63,,3.0,64.0,4,4,38.0,38,3420,423,,,24,27.7,,1995-1996
568,Leeds United,,,,,,,,,0.74,28,1.74,66,1.68,0.95,36,1.0,38,,4.0,59.0,2,3,38.0,38,3420,403,,,31,27.1,,1995-1996
569,Liverpool,,,,,,,,,1.42,54,3.21,122,3.18,1.76,67,1.79,68,,0.0,39.0,1,1,38.0,38,3420,421,,,19,25.7,,1995-1996
570,Manchester City,,,,,,,,,0.68,26,1.55,59,1.53,0.84,32,0.87,33,,6.0,67.0,1,2,38.0,38,3420,386,,,27,26.1,,1995-1996
571,Manchester Utd,,,,,,,,,1.63,62,3.53,134,3.42,1.79,68,1.89,72,,3.0,50.0,4,4,38.0,38,3420,422,,,23,25.5,,1995-1996
572,Middlesbrough,,,,,,,,,0.71,27,1.61,61,1.53,0.82,31,0.89,34,,3.0,72.0,3,4,38.0,38,3420,418,,,30,26.0,,1995-1996
573,Newcastle Utd,,,,,,,,,1.42,54,3.21,122,3.13,1.71,65,1.79,68,,1.0,47.0,3,4,38.0,38,3420,401,,,22,27.0,,1995-1996
574,Nott'ham Forest,,,,,,,,,0.92,35,2.18,83,2.11,1.18,45,1.26,48,,2.0,46.0,3,3,38.0,38,3420,407,,,22,26.0,,1995-1996
575,QPR,,,,,,,,,0.87,33,1.84,70,1.84,0.97,37,0.97,37,,4.0,75.0,0,1,38.0,38,3420,419,,,27,26.2,,1995-1996
576,Sheffield Weds,,,,,,,,,0.97,37,2.24,85,2.13,1.16,44,1.26,48,,1.0,37.0,4,4,38.0,38,3420,401,,,28,27.9,,1995-1996
577,Southampton,,,,,,,,,0.55,21,1.42,54,1.32,0.76,29,0.87,33,,2.0,62.0,4,4,38.0,38,3420,417,,,25,26.2,,1995-1996
578,Tottenham,,,,,,,,,1.0,38,2.24,85,2.18,1.18,45,1.24,47,,0.0,52.0,2,2,38.0,38,3420,424,,,23,27.4,,1995-1996
579,West Ham,,,,,,,,,0.76,29,1.89,72,1.76,1.0,38,1.13,43,,4.0,51.0,5,6,38.0,38,3420,422,,,31,28.2,,1995-1996
580,Wimbledon,,,,,,,,,1.03,39,2.45,93,2.39,1.37,52,1.42,54,,7.0,55.0,2,2,38.0,38,3420,421,,,30,27.0,,1995-1996
581,Arsenal,,,,,,,,,0.98,41,2.26,95,2.19,1.21,51,1.29,54,,4.0,60.0,3,4,42.0,42,3780,471,,,30,27.7,,1994-1995
582,Aston Villa,,,,,,,,,0.93,39,2.07,87,2.05,1.12,47,1.14,48,,3.0,59.0,1,1,42.0,42,3780,423,,,25,27.5,,1994-1995
583,Blackburn,,,,,,,,,1.38,58,3.24,136,3.0,1.62,68,1.86,78,,4.0,50.0,10,12,42.0,42,3780,482,,,21,25.5,,1994-1995
584,Chelsea,,,,,,,,,0.93,39,2.05,86,2.02,1.1,46,1.12,47,,3.0,56.0,1,2,42.0,42,3780,456,,,23,26.4,,1994-1995
585,Coventry City,,,,,,,,,0.86,36,1.86,78,1.74,0.88,37,1.0,42,,3.0,52.0,5,5,42.0,42,3780,500,,,29,27.7,,1994-1995
586,Crystal Palace,,,,,,,,,0.52,22,1.31,55,1.29,0.76,32,0.79,33,,1.0,56.0,1,3,42.0,42,3780,436,,,24,25.5,,1994-1995
587,Everton,,,,,,,,,0.93,39,1.95,82,1.93,1.0,42,1.02,43,,6.0,70.0,1,3,42.0,42,3780,466,,,26,27.0,,1994-1995
588,Ipswich Town,,,,,,,,,0.5,21,1.14,48,1.07,0.57,24,0.64,27,,2.0,51.0,3,3,42.0,42,3780,405,,,32,28.1,,1994-1995
589,Leeds United,,,,,,,,,1.1,46,2.43,102,2.36,1.26,53,1.33,56,,0.0,70.0,3,4,42.0,42,3780,458,,,20,26.8,,1994-1995
590,Leicester City,,,,,,,,,0.64,27,1.74,73,1.74,1.1,46,1.1,46,,8.0,62.0,0,1,42.0,42,3780,467,,,30,26.2,,1994-1995
591,Liverpool,,,,,,,,,1.1,46,2.52,106,2.4,1.31,55,1.43,60,,1.0,43.0,5,6,42.0,42,3780,463,,,21,25.4,,1994-1995
592,Manchester City,,,,,,,,,1.1,46,2.36,99,2.33,1.24,52,1.26,53,,5.0,62.0,1,2,42.0,42,3780,459,,,26,26.8,,1994-1995
593,Manchester Utd,,,,,,,,,1.38,58,3.19,134,3.1,1.71,72,1.81,76,,3.0,59.0,4,4,42.0,42,3780,460,,,24,26.8,,1994-1995
594,Newcastle Utd,,,,,,,,,1.29,54,2.86,120,2.76,1.48,62,1.57,66,,4.0,48.0,4,5,42.0,42,3780,463,,,22,26.4,,1994-1995
595,Norwich City,,,,,,,,,0.64,27,1.38,58,1.33,0.69,29,0.74,31,,1.0,68.0,2,3,42.0,42,3780,445,,,24,25.8,,1994-1995
596,Nott'ham Forest,,,,,,,,,1.62,68,3.31,139,3.19,1.57,66,1.69,71,,1.0,58.0,5,6,42.0,42,3780,462,,,20,25.7,,1994-1995
597,QPR,,,,,,,,,1.12,47,2.55,107,2.55,1.43,60,1.43,60,,4.0,70.0,0,1,42.0,42,3780,461,,,22,26.8,,1994-1995
598,Sheffield Weds,,,,,,,,,0.81,34,1.95,82,1.93,1.12,47,1.14,48,,2.0,54.0,1,2,42.0,42,3780,463,,,24,26.8,,1994-1995
599,Southampton,,,,,,,,,0.86,36,2.31,97,2.24,1.38,58,1.45,61,,0.0,70.0,3,3,42.0,42,3780,441,,,26,25.6,,1994-1995
